cg0001	chromosomal replication initiation protein
cg0004	DNA polymerase III subunit beta
cg0005	recombination protein F
cg0006	hypothetical protein
cg0007	DNA gyrase subunit B
cg0008	hypothetical protein
cg0009	hypothetical protein
cg0010	hypothetical protein
cg0012	transcriptional regulator
cg0013	hypothetical protein
cg0014	hypothetical protein
cg0015	DNA gyrase subunit A
cg0016	hypothetical protein
cg0018	uncharacterized membrane protein
cg0019	transcriptional regulator
cg0021	hypothetical protein
cg0025	cytochrome C biogenesis protein
cg0026	protein-disulfide isomerase
cg0027	transcriptional regulator
cg0029	Zn-dependent protease with chaperone function
cg0034	5'-nucleotidase/2',3'-cyclic phosphodiesterase or related esterase
cg0035	5'-nucleotidase/2',3'-cyclic phosphodiesterase or related esterase
cg0038	stress-induced protein
cg0039	transcriptional regulator
cg0040	hypothetical protein
cg0041	ABC-type transporter, periplasmic component
cg0042	ABC-type transporter, permease component
cg0043	ABC-type transporter, ATPase component
cg0044	ABC-type transporter, periplasmic component
cg0045	ABC-type transporter, permease component
cg0046	ABC-type transporter, ATPase component
cg0047	hypothetical protein
cg0048	peptidyl-prolyl cis-trans isomerase (rotamase)
cg0049	uncharacterized membrane protein
cg0051	AraC-type DNA-binding domain-containing protein
cg0052	ABC-type transporter, permease component
cg0053	ABC-type transporter, ATPase component
cg0054	siderophore-interacting protein
cg0055	putative septation inhibitor protein
cg0057	serine/threonine protein kinase
cg0059	serine/threonine protein kinase
cg0060	cell division protein FtsI
cg0061	cell division membrane protein
cg0062	protein serine/threonine phosphatase
cg0063	FHA-domain-containing protein
cg0064	hypothetical protein
cg0065	hypothetical protein
cg0066	hypothetical protein
cg0067	NAD-dependent aldehyde dehydrogenase
cg0070	phenol 2-monooxygenase
cg0071	Zn-dependent hydrolase
cg0072	hypothetical protein
cg0073	rhodanese-related sulfurtransferase
cg0074	rhodanese-related sulfurtransferase
cg0075	hypothetical protein
cg0076	hypothetical protein
cg0077	hypothetical protein
cg0078	hypothetical protein
cg0079	hypothetical protein
cg0080	Mg2+ and Co2+ transporter protein
cg0081	4-oxalocrotonate tautomerase-like protein
cg0082	chloride channel EriC-like protein
cg0083	nicotinamide mononucleotide transporter
cg0085	ATPase related to phosphate starvation-inducible protein PhoH
cg0087	hypothetical protein
cg0088	H+/citrate symporter
cg0089	two-component system sensory transduction histidine kinase
cg0090	two-component system response regulator
cg0091	phosphoglycerate dehydrogenase or related dehydrogenase
cg0092	hypothetical protein
cg0095	biotin synthase
cg0096	hypothetical protein
cg0097	hypothetical protein
cg0103	permease
cg0104	cytosine deaminase or related metal-dependent hydrolase
cg0105	hypothetical protein
cg0107	hypothetical protein
cg0108	Sir2 family NAD-dependent protein deacetylase
cg0109	acetyltransferase or hydrolase
cg0110	acetyltransferase or hydrolase
cg0111	hypothetical protein
cg0112	mar family transcriptional regulator
cg0113	urease subunit gamma
cg0114	urease subunit beta
cg0115	urease subunit alpha
cg0116	urease accessory protein UreE
cg0117	urease accessory protein UreF
cg0118	Ni2+-binding GTPase
cg0119	urease accessory protein UreH
cg0120	hydrolase or acyltransferase
cg0121	permease
cg0122	hypothetical protein
cg0123	HSP90 family molecular chaperone
cg0124	AMP nucleosidase
cg0126	hypothetical protein
cg0127	thiamine pyrophosphate-requiring enzyme
cg0128	hypothetical protein
cg0129	proline dehydrogenase
cg0131	oxidoreductase
cg0133	putative p-aminobenzoyl-glutamate transporter
cg0134	metal-dependent enzyme
cg0135	hypothetical protein
cg0136	hypothetical protein
cg0138	acyl-CoA synthetase (AMP-forming)/AMP-acid ligase II
cg0139	DeoR family sugar metabolism transcriptional regulator
cg0141	lactoylglutathione lyase or related lyase
cg0142	phosphohistidine phosphatase SixA
cg0143	mannitol-1-phosphate/altronate dehydrogenase
cg0144	permease
cg0146	DeoR family sugar metabolism transcriptional regulator
cg0147	sugar (pentulose and hexulose) kinase
cg0148	panthothenate synthetase
cg0149	3-methyl-2-oxobutanoate hydroxymethyltransferase
cg0150	hypothetical protein
cg0151	3-methyladenine DNA glycosylase
cg0152	hypothetical protein
cg0153	esterase/lipase
cg0154	HAD superfamily hydrolase
cg0155	carbonic anhydrase/acetyltransferase
cg0156	transcriptional regulator
cg0158	major facilitator superfamily permease
cg0159	hypothetical protein
cg0160	hypothetical protein
cg0161	hypothetical protein
cg0162	hypothetical protein
cg0163	glycosyltransferase
cg0165	hypothetical protein
cg0166	ankyrin repeat-containing protein
cg0167	permease
cg0168	permease
cg0170	hypothetical protein
cg0171	hypothetical protein
cg0172	aspartate alpha-decarboxylase
cg0173	hypothetical protein
cg0174	putative ammonia monooxygenase
cg0175	hypothetical protein
cg0176	permease
cg0177	hypothetical protein
cg0178	HrpA-like helicase
cg0180	acetyltransferase
cg0181	alkylated DNA repair protein
cg0182	3-methyladenine DNA glycosylase
cg0183	putative threonine efflux protein
cg0184	hypothetical protein
cg0185	lactoylglutathione lyase-like protein
cg0186	methylated DNA-protein cysteine methyltransferase
cg0187	hypothetical protein
cg0188	hypothetical protein
cg0191	putative translation initiation inhibitor
cg0192	hypothetical protein
cg0193	metalloendopeptidase
cg0194	hypothetical protein
cg0195	hypothetical protein
cg0196	transcriptional regulator
cg0197	ribokinase family sugar kinase
cg0198	hypothetical protein
cg0199	NAD-dependent aldehyde dehydrogenase
cg0201	hypothetical protein
cg0202	thiamine pyrophosphate-requiring enzyme
cg0203	hypothetical protein
cg0204	dehydrogenase
cg0205	sugar phosphate isomerase/epimerase
cg0206	major facilitator superfamily permease
cg0207	dehydrogenase
cg0208	hypothetical protein
cg0209	hypothetical protein
cg0210	transcriptional regulator
cg0211	dehydrogenase
cg0212	sugar phosphate isomerase/epimerase
cg0214	hypothetical protein
cg0215	cold shock protein
cg0216	hypothetical protein
cg0217	transcriptional regulator
cg0218	SAM-dependent methyltransferase
cg0220	hypothetical protein
cg0221	transcriptional regulator
cg0222	hypothetical protein
cg0223	major facilitator superfamily permease
0	transposase
cg0228	PAS/PAC domain-containing protein
cg0229	glutamine 2-oxoglutarate aminotransferase large subunit
cg0230	glutamate synthase subunit beta
cg0233	hypothetical protein
cg0235	putative arabinosyl transferase
cg0236	hypothetical protein
cg0237	short chain dehydrogenase
cg0238	FAD/FMN-containing dehydrogenase
cg0239	hypothetical protein
cg0240	hypothetical protein
cg0241	hypothetical protein
cg0242	hypothetical protein
cg0243	hypothetical protein
cg0244	hypothetical protein
cg0245	hypothetical protein
cg0246	glycosyltransferase
cg0247	hypothetical protein
cg0248	ABC-type transporter, ATPase component
cg0249	ABC-type transporter, permease component
cg0250	selenocysteine lyase
cg0251	NADPH:quinone reductase or related Zn-dependent oxidoreductase
cg0252	hypothetical protein
cg0253	hypothetical protein
cg0254	Na+/alanine symporter
cg0256	hypothetical protein
cg0257	molybdopterin biosynthesis protein MoeB
cg0258	molybdopterin converting factor, large subunit
cg0259	molybdopterin biosynthesis enzyme
cg0260	molybdenum cofactor biosynthesis protein C
cg0261	molybdopterin biosynthesis enzyme
cg0262	ABC-type transporter, permease component
cg0263	ABC-type transporter, periplasmic component
cg0264	hypothetical protein
cg0265	ABC-type transporter, ATPase component
cg0266	hypothetical protein
cg0267	putative aminotransferase
cg0269	hypothetical protein
cg0270	hypothetical protein
cg0272	helix-turn-helix containing transcriptional regulator
cg0273	Zn-dependent alcohol dehydrogenase
cg0274	monoamine oxidase
cg0275	Mg/Co/Ni transporter MgtE
cg0277	di- and tricarboxylate transporter
cg0279	prephenate dehydrogenase
cg0280	hypothetical protein
cg0281	cytosine/adenosine deaminase
cg0282	hypothetical protein
cg0283	hypothetical protein
cg0284	RND superfamily drug exporter
cg0285	queuine/archaeosine tRNA-ribosyltransferase
cg0286	hypothetical protein
cg0287	malic enzyme protein
cg0288	ABC-type multidrug/protein/lipid transport system, ATPase component
cg0289	glutamyl-Q tRNA(Asp) synthetase
cg0291	dioxygenase
0	putative transposase
0	hypothetical protein
cg0294	aspartate transaminase
cg0295	hypothetical protein
cg0296	DNA polymerase III subunits gamma and tau
cg0297	hypothetical protein
cg0298	recombination protein RecR
cg0299	glutamine amidotransferase
cg0300	UDP-N-acetylmuramyl tripeptide synthase
cg0302	DNA polymerase III subunit epsilon
cg0303	2-isopropylmalate synthase
cg0304	hypothetical protein
cg0306	aspartate kinase
cg0307	aspartate-semialdehyde dehydrogenase
cg0308	hypothetical protein
cg0309	RNA polymerase sigma factor
cg0310	catalase
cg0311	hypothetical protein
cg0313	transcriptional regulator
cg0314	branched-chain amino acid permease
cg0315	hypothetical protein
cg0316	hypothetical protein
cg0317	transcriptional regulator
cg0318	arsenite efflux pump ACR3
cg0319	protein-tyrosine-phosphatase
cg0321	putative monovalent cation/H+ antiporter subunit G
cg0322	putative monovalent cation/H+ antiporter subunit F
cg0323	putative monovalent cation/H+ antiporter subunit E
cg0324	putative monovalent cation/H+ antiporter subunit D
cg0325	putative monovalent cation/H+ antiporter subunit C
cg0326	putative monovalent cation/H+ antiporter subunit A
cg0327	hypothetical protein
cg0328	hypothetical protein
cg0330	two-component system, response regulator
cg0331	two-component system, sensory transduction histidine kinase
cg0332	hypothetical protein
cg0333	uncharacterized membrane-associated protein
cg0334	phosphohydrolase
cg0335	hypothetical protein
cg0336	membrane carboxypeptidase
cg0337	putative regulatory protein
cg0338	hypothetical protein
cg0339	putative translation initiation inhibitor
cg0340	major facilitator superfamily permease
cg0341	acyl-CoA synthetase
cg0343	ranscriptional regulator
cg0344	dehydrogenase
cg0345	metal-dependent hydrolase of the TIM-barrel fold
cg0346	acyl-CoA dehydrogenase
cg0347	acyl dehydratase
cg0349	Zn-dependent hydrolase
cg0350	cAMP-binding domain-containing protein
cg0352	hypothetical protein
cg0353	EndoIII-related endonuclease
cg0354	thiol-disulfide isomerase
cg0355	NTP pyrophosphohydrolase
cg0356	trypsin-like serine protease
cg0358	hydrolase or acyltransferase
cg0359	hypothetical protein
cg0360	phosphoserine phosphatase
cg0362	hypothetical protein
cg0364	ATPase involved in pili and flagella biosynthesis
cg0363	hypothetical protein
cg0365	hypothetical protein
cg0366	hypothetical protein
cg0368	hypothetical protein
cg0369	hypothetical protein
cg0370	helicase
cg0371	cold shock protein
cg0373	DNA topoisomerase I
cg0374	hypothetical protein
cg0375	adenylate cyclase
cg0376	DNA polymerase III subunit delta'
cg0378	uncharacterized phage-associated protein
cg0382	putative adenylate kinase
cg0384	23S RNA-specific pseudouridylate synthase
cg0385	beta-glucosidase-related glycosidase
cg0386	hypothetical protein
cg0387	class III Zn-dependent alcohol dehydrogenase
cg0388	Zn-dependent hydrolase or glyoxylase
cg0389	dehydrogenase
cg0390	major facilitator superfamily permease
cg0391	nucleoside-diphosphate-sugar epimerase
cg0393	hypothetical protein
cg0394	glycosyltransferase involved in cell wall biogenesis
cg0395	hypothetical protein
cg0396	glycosyltransferase
cg0397	5'-nucleotidase/2',3'-cyclic phosphodiesterase or related esterase
cg0399	hypothetical protein
cg0400	Zn-dependent alcohol dehydrogenase
cg0401	dTDP-glucose pyrophosphorylase
cg0402	dTDP-4-dehydrorhamnose 3,5-epimerase or related enzyme
cg0403	dTDP-D-glucose 4,6-dehydratase
cg0404	nitroreductase
cg0405	periplasmic component of ABC-type Fe3+-siderophore transport system
cg0407	hypothetical protein
cg0408	hypothetical protein
cg0409	aminopeptidase N
cg0410	serine protease
cg0411	hypothetical protein
cg0412	hypothetical protein
cg0413	esterase
cg0414	putative ATPase involved in chromosome partitioning
cg0415	protein-tyrosine-phosphatase
cg0416	hypothetical protein
cg0417	nucleoside-diphosphate sugar epimerase
cg0418	pyridoxal phosphate-dependent enzyme
cg0419	sugar transferase involved in lipopolysaccharide synthesis
cg0420	glycosyltransferase
cg0421	O-antigen and teichoic acid membrane export protein
cg0422	UDP-N-acetylglucosamine enolpyruvyl transferase
cg0423	UDP-N-acetylmuramate dehydrogenase
cg0424	cell wall biogenesis glycosyltransferase
cg0426	putative transposase
cg0431	hypothetical protein
cg0432	acyltransferase
cg0435	UDP-glucose 6-dehydrogenase
cg0437	hypothetical protein
cg0438	cell wall biogenesis glycosyltransferase
cg0439	acetyltransferase
cg0441	dihydrolipoamide dehydrogenase
cg0442	UDP-glucose pyrophosphorylase
cg0443	hypothetical protein
cg0444	transcriptional regulator
cg0445	hypothetical protein
cg0446	succinate dehydrogenase flavoprotein subunit
cg0447	succinate dehydrogenase/fumarate reductase iron-sulfur subunit
cg0448	hypothetical protein
cg4001	hypothetical protein
cg0450	hypothetical protein
cg0451	hypothetical protein
cg0452	hypothetical protein
cg0453	hypothetical protein
cg0454	transcriptional regulator
cg0455	major facilitator superfamily permease
cg0456	major facilitator superfamily permease
cg0457	formyltetrahydrofolate deformylase
cg0458	deoxyribose-phosphate aldolase
cg0462	hypothetical protein
cg0463	hypothetical protein
cg0464	cation transport ATPase
cg0465	hypothetical protein
cg0466	hypothetical protein
cg0467	ABC-type transporter, periplasmic component
cg0468	ABC-type transporter, permease component
cg0469	ABC-type transporter, ATPase component
cg0470	hypothetical protein
cg0471	hypothetical protein
cg0472	hypothetical protein
cg0474	hypothetical protein
cg0475	hypothetical protein
cg0476	UDP-N-acetylenolpyruvoylglucosamine reductase
cg0477	hypothetical protein
cg0480	acyl-CoA synthetase
cg0481	glycosyltransferase
cg0482	phosphoglyceromutase
cg0483	signal transduction histidine kinase
cg0484	two-component system, response regulators
cg0485	hypothetical protein
cg0486	ABC-type transport system permease component
cg0487	hypothetical protein
cg0488	exopolyphosphatase
cg0489	hypothetical protein
cg0490	pyrroline-5-carboxylate reductase
cg0492	hypothetical protein
cg0495	phosphoserine phosphatase
cg0496	hypothetical protein
cg0497	glutamyl-tRNA reductase
cg0498	porphobilinogen deaminase
#N/A	hypothetical protein
cg0500	transcriptional regulator
cg0501	major facilitator superfamily permease
cg0502	sugar phosphate isomerase/epimerase
cg0503	3-dehydroquinate dehydratase
cg0504	shikimate 5-dehydrogenase
cg0505	hypothetical protein
cg0506	ABC-type transporter, ATPase component
cg0507	ABC-type transporter permease component
cg0508	ABC-type transporter periplasmic component
cg0510	uroporphyrinogen-III synthase/methylase
cg0511	hypothetical protein
cg0512	delta-aminolevulinic acid dehydratase
cg0513	hypothetical protein
cg0514	hypothetical protein
cg0515	cation transport ATPase
cg0516	uroporphyrinogen decarboxylase
cg0517	protoporphyrinogen oxidase
cg0518	glutamate-1-semialdehyde aminotransferase
cg0519	phosphoglycerate mutase/fructose-2,6-bisphosphatase
cg0520	thiol-disulfide isomerase or thioredoxin
cg0522	cytochrome C biogenesis protein
cg0523	cytochrome C biosynthesis protein ResB
cg0524	cytochrome C assembly protein
cg0525	hypothetical protein
cg0526	putative YjgF translation initiation inhibitor
cg0527	ArsR family transcriptional regulator
cg0528	hypothetical protein
cg0530	hypothetical protein
cg0531	1,4-dihydroxy-2-naphthoate octaprenyltransferase
cg0532	hypothetical protein
cg0533	O-succinylbenzoic acid--CoA ligase
cg0534	hypothetical protein
cg0535	ketoglutarate semialdehyde dehydrogenase
cg0536	5-dehydro-4-deoxyglucarate dehydratase
cg0537	transcriptional regulator
cg0538	hypothetical protein
cg0540	hypothetical protein
cg0542	hypothetical protein
cg0543	hypothetical protein
cg0544	hypothetical protein
cg0545	phosphate/sulphate permease
cg0548	naphthoate synthase
cg0549	pterin-4a-carbinolamine dehydratase
cg0550	peptidase E
cg0551	O-succinylbenzoate synthase
cg0552	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylic acid synthase/2-oxoglutarate decarboxylase
cg0553	hypothetical protein
cg0554	group 1 glycosyltransferase
cg0555	gamma-aminobutyrate permease or related permease
cg0556	ubiquinone/menaquinone biosynthesis methyltransferase
cg0557	oxidoreductase
cg0559	geranylgeranyl pyrophosphate synthase
cg0561	preprotein translocase subunit SecE
cg0562	transcription antitermination protein NusG
cg0563	50S ribosomal protein L11
